ID_star,ID_system,Name,GJ,Karmn,RA_J2016,DE_J2016,SpT,SpTnum,SpT_ref,Type,Class,Component,System,SB,SB_ref,Discoverer,Group,Group_ref,Nplanet,Planet_ref,Category,Remarks,WDS_id,WDS_comp,WDS_obs1,WDS_obs2,WDS_nobs,WDS_pa2,WDS_sep2,WDS_mag1,WDS_mag2,s01,rho01,theta01,s01_ref,s02,rho02,theta02,muratio,deltaPA,deltad,M_Msol,eM_Msol,R_Rsol,eR_Rsol,MR_ref,L_Lsol,eL_Lsol,L_ref,MG_mag,eMG_mag,Teff_K,eTeff_K,Teff_ref,logg,elogg,Fe_H,Fe_H_ref,q,P01,eP01,P01_ref,P02,eP02,Ug_J,eUg_J,crit_ruwe,crit_ipd_ruwe,crit_rv,crit_rv_error,crit_ipd_fmp,crit_dupl_source,crit_non_single,crit_DR3_non_single,Candidate,GaiaDR3_id,2MASS_id,AllWISE_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_ref,pmra,pmra_error,pmdec,pmdec_error,pm_ref,rv,rv_error,rv_ref,ruwe,astrometric_excess_noise,astrometric_excess_noise_sig,phot_bp_rp_excess_factor,phot_bp_n_blended_transits,phot_rp_n_blended_transits,phot_variable_flag,rv_chisq_pvalue,rv_amplitude_robust,rv_nb_transits,rv_renormalised_gof,astrometric_n_obs_al,astrometric_n_good_obs_al,ipd_gof_harmonic_amplitude,ipd_frac_multi_peak,duplicated_source,BP_mag,eBP_mag,G_mag,eG_mag,RP_mag,eRP_mag,J_mag,eJ_mag,H_mag,eH_mag,Ks_mag,eKs_mag,Qf_2M,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Qf_W
1866,0,LP 330-13,,J16255+323,16:25:32.91,+32:18:34.1,M2.0 V,72.0,Lep13,Single,,-,,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,0.4340,0.0169,0.4341,0.0125,This work,0.0254779421,0.0001437766,This work,9.4673,0.0030,3500,50,This work,5.00,0.25,-0.16,Bir20,,,,,,,,,false,false,false,false,false,false,0,,false,1325251986414360320,16253280+3218312,J162532.87+321833.2,246.38710612254700,0.012615139596164200,32.30947539109580,0.01674405112862590,41.56360200375150,0.018883001,DR3,77.70838630828100,0.016203448,167.51710713444900,0.020789437,DR3,-5.4634047,0.21488033,DR3,1.2380064,0.17891843616962400,57.82505416870120,1.3860487,27,0,NOT_AVAILABLE,0.8023878,3.3876214,26,-1.6712233,443,440,0.01599162071943280,0,false,12.5826,0.0030,11.3737,0.0028,10.2845,0.0038,8.868,0.026,8.279,0.040,8.051,0.036,AAA,7.905,0.025,7.787,0.019,7.701,0.019,7.676,0.161,AAAB
1867,0,TYC 4647-2406-1,,J16259+834,16:25:59.21,+83:24:23.2,M1.5 V,71.5,Lep13,Single,,-,,,,,UMa,Cor24,0,,3,,,,,,,,,,,,,,,,,,,,,0.5326,0.0287,0.5137,0.0129,This work,0.0463340394,0.0001812486,This work,8.7236,0.0030,3600,50,This work,5.50,0.25,,n/a,,,,,,,,,false,false,false,false,false,false,0,,false,1723105248107124608,16255832+8324241,J162558.91+832423.5,246.49669025287600,0.01586507447063920,83.40644602420180,0.015629254281520800,34.60125738937330,0.017574266,DR3,81.74546917315530,0.019579904,-68.19851866332440,0.020543782,DR3,-7.3729253,0.27558833,DR3,1.1640303,0.14731743931770300,27.1149845123291,1.3725371,36,35,NOT_AVAILABLE,0.91513515,1.9481878,8,-1.5992781,279,279,0.00872253067791462,10,false,12.1027,0.0031,11.0281,0.0028,9.9822,0.0040,8.642,0.020,8.008,0.020,7.791,0.018,AAA,7.645,0.030,7.594,0.020,7.494,0.016,7.405,0.072,AAAA
1868,509,GJ 3953,3953,J16255+260,16:25:32.12,+26:01:38.0,M3.0 V,73.0,Rei95,Multiple,Double,AB,(AB),,,RAO 347,,,0,,2,,16255+2602,,2016,2016,1,54.80,0.285,12.4,12.9,10.2158,0.285,54.80,,,,,,,,,,,,n/a,,,n/a,,,,,n/a,,,-0.12,Jon20,,,,,,,,,false,false,false,false,true,true,,,false,1304171737170027008,16253273+2601381,J162532.20+260138.0,246.3838461173220,4.5642266273498500,26.02720889789340,,,,n/a,-190,8,-18,8,Zac12,,,n/a,,91.73786926269530,13798137.0,2.2402823,68,68,NOT_AVAILABLE,,,,,659,659,0.31909510493278500,73,true,12.4662,0.0033,11.5897,0.0114,9.9438,0.0039,8.403,0.034,7.788,0.044,7.535,0.026,AUU,7.377,0.030,7.271,0.019,7.193,0.017,7.060,0.085,AAAA
1869,510,GJ 3954,3954,J16268-173,16:26:47.75,-17:23:40.5,M4.5 V,74.5,Rei95,Multiple,Double,AB,(AB),,,WSI 131,,,0,,2,,16268-1724,,2010,2018,4,172.70,0.691,14.9,15.3,12.4143,0.691,172.70,,,,,,,,,,,,n/a,,,n/a,12.1892,0.0106,,,n/a,,,,n/a,,,,,,,,,false,false,false,false,true,false,0,,false,4324728640519965824,16264816-1723335,J162647.87-172338.4,246.69894101829000,0.23374827206134800,-17.394576864921600,0.1184549555182460,55.66143180741030,0.2595803,DR3,-339.664023929068,0.5098864,-400.0881527699970,0.25366926,DR3,,,n/a,1.7009977,0.9787451028823850,438.4033508300780,3.004449,13,12,NOT_AVAILABLE,,,,,209,199,0.035561107099056200,55,false,14.5923,0.0047,13.4614,0.0031,11.4242,0.0051,9.548,0.023,8.997,0.026,8.682,0.025,AAA,8.500,0.022,8.292,0.020,8.177,0.027,7.922,0.220,AAAB
1870,511,GJ 3955,3955,J16280+155,16:28:02.04,+15:33:52.1,M2.5 V,72.5,Rei95,Multiple,Double,AB,(AB),,,JNN 279,,,0,,2,WDS tabulates the SB2 (Jef18),16280+1533,,2012,2012,1,35.10,0.558,13.26,15,20.0016,0.558,35.10,,,,,,,,,,,,n/a,,,n/a,9.5226,0.0206,,,n/a,,,-0.19,Ter15a,,,,,,,,,true,false,false,false,true,false,0,,false,4465641500980123904,16280206+1533575,J162802.05+153353.9,247.00850291125500,0.20843113958835600,15.564462190005800,0.15057522058486900,27.897827617401400,0.26214314,DR3,-9.04322952915441,0.24322258,-307.5419597732000,0.21185347,DR3,16.919067,1.7935796,DR3,21.15321,2.5036444664001500,10403.01953125,1.7379961,0,0,NOT_AVAILABLE,1.03852685E-07,12.23252,8,4.688544,571,566,0.027450554072856900,93,false,13.4712,0.0033,12.2947,0.0029,10.9204,0.0039,9.375,0.020,8.802,0.016,8.556,0.018,AAA,8.390,0.023,8.212,0.020,8.107,0.020,7.808,0.181,AAAB
1871,0,V2306 Oph,628,J16303-126,16:30:17.96,-12:40:04.3,M3.5 V,73.5,Rei95,Single,,-,,,,,,,2,Wri16,1,LAF 56 AB-AH are optical,,,,,,,,,,,,,,,,,,,,0.2841,0.0114,0.2921,0.0065,This work,0.0109312600,0.0000792779,This work,10.6306,0.0028,3426,33,Marf21,4.50,0.25,-0.15,Marf21,,,,,,,,,false,false,false,false,false,false,0,,false,4330690742322011520,16301808-1239434,J163018.01-123957.3,247.57481416249300,0.024267857894301400,-12.66785108081100,0.01166065875440840,232.13898083974100,0.026823945,DR3,-94.20959499441270,0.03089707,-1183.917157588460,0.021104315,DR3,-21.797655,0.12925111,DR3,1.1489384,0.17868292331695600,48.721168518066400,1.4630961,0,0,NOT_AVAILABLE,0.66600955,1.1182995,30,-6.700726,531,530,0.018613135442137700,0,false,10.3223,0.0032,8.8019,0.0028,7.5907,0.0038,5.950,0.024,5.373,0.040,5.075,0.024,AAA,4.971,0.176,4.572,0.094,4.688,0.015,4.554,0.033,BAAA
1872,0,GJ 3959,3959,J16313+408,16:31:18.59,+40:51:56.6,M5.0 V,75.0,Rei95,Candidate,,-,,,,,IC 2391/Arg,Cor24,0,,1,,,,,,,,,,,,,,,,,,,,,0.1576,0.0095,0.1721,0.0046,This work,0.0026949088,0.0000119843,This work,12.6699,0.0030,3170,42,Marf21,3.50,0.25,-0.47,Marf21,,,,,,,,,false,false,true,true,false,false,0,,true,1332966881549315456,16311879+4051516,J163118.65+405154.9,247.8274448005920,0.021606937050819400,40.86572384148290,0.025964882224798200,88.8226975511887,0.026107742,DR3,-143.43409539986100,0.028396048,306.26762215919700,0.03474875,DR3,-21.98739,34.530598,DR3,1.1958187,0.30913853645324700,110.20610809326200,1.5627882,0,0,NOT_AVAILABLE,7.972734E-09,14.580761,31,98.46417,438,438,0.011660831980407200,1,false,15.0930,0.0042,12.9273,0.0029,11.5739,0.0040,9.461,0.023,8.869,0.023,8.506,0.016,AAA,8.296,0.023,8.129,0.020,7.945,0.020,7.762,0.147,AAAB
1873,0,GJ 1202,1202,J16315+175,16:31:34.69,+17:33:35.9,M3.5 V,73.5,Rei95,Single,,-,,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,0.2919,0.0131,0.2994,0.0088,This work,0.0107956361,0.0000431392,This work,10.5258,0.0031,3400,50,This work,4.50,0.25,-0.08,Gai14b,,,,,,,,,false,false,false,false,false,false,0,,false,4467057362719443072,16313507+1733494,J163134.82+173340.5,247.89455806837200,0.02914469875395300,17.55996947257020,0.025028346106410000,59.461415300153300,0.03926538,DR3,-324.9522242747620,0.033741795,-810.649338918586,0.034861,DR3,6.7015333,0.2685222,DR3,1.2555962,0.3608458638191220,234.56768798828100,1.434673,0,0,NOT_AVAILABLE,0.094075434,4.0543127,29,0.91082865,486,486,0.00249882391653955,0,false,13.0452,0.0030,11.6546,0.0028,10.4875,0.0038,8.926,0.019,8.431,0.016,8.178,0.017,AAA,8.033,0.022,7.846,0.019,7.730,0.021,7.771,0.187,AAAB
1874,0,GJ 1203,1203,J16327+126,16:32:44.36,+12:36:43.8,M3.0 V,73.0,Rei95,Single,,-,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,0.3923,0.0113,0.3946,0.0048,This work,0.0209997580,0.0001024573,This work,9.7352,0.0033,3486,21,Marf21,5.50,0.25,-0.19,Marf21,,,,,,,,,false,false,false,false,false,false,0,,false,4459548626016199168,16324524+1236460,J163244.65+123644.6,248.1848143036140,0.0302618108689785,12.612171779037400,0.0228352639824152,54.01970436356880,0.043562885,DR3,-764.8759446896770,0.036809698,-136.10519654851600,0.02906652,DR3,-33.145866,0.16631135,DR3,1.3145455,0.3932056128978730,341.1919860839840,1.4125612,0,0,NOT_AVAILABLE,0.50343513,2.4029388,43,-0.99349535,687,681,0.010444441810250300,0,false,12.3678,0.0029,11.0724,0.0028,9.9417,0.0038,8.429,0.019,7.902,0.024,7.675,0.024,AAA,7.550,0.031,7.397,0.020,7.328,0.018,7.233,0.112,AAAB
1875,0,GJ 3960,3960,J16328+098,16:32:53.09,+09:50:28.5,M3.5 V,73.5,Rei95,Candidate,,-,,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,0.2762,0.0128,0.2845,0.0087,This work,0.0086501883,0.0000477999,This work,10.8700,0.0031,3300,50,This work,4.50,0.25,-0.11,Gai14b,,,,,,,,,true,false,false,false,false,false,0,,true,4446574040918651904,16325284+0950259,J163253.00+095027.6,248.2212020132820,0.027562852948904000,9.841238219932930,0.019224703311920200,64.89997043328880,0.0375417,DR3,228.76369868395400,0.035238765,155.49674481098500,0.03065433,DR3,-27.516449,0.22131914,DR3,2.0279067,0.3274267017841340,231.86212158203100,1.4545466,0,0,NOT_AVAILABLE,0.97153234,6.1469707,44,-3.0451522,639,629,0.010198044590652000,0,false,13.2788,0.0030,11.8088,0.0028,10.6121,0.0038,8.988,0.029,8.455,0.031,8.160,0.023,AAA,7.983,0.025,7.823,0.020,7.712,0.021,7.672,0.152,AAAB
1876,0,LP 137-37,,J16342+543,16:34:13.28,+54:23:48.5,M1.0 V,71.0,Lep13,Single,,-,,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,0.5413,0.0285,0.5215,0.0128,This work,0.0480631292,0.0001907883,This work,8.6616,0.0030,3700,50,This work,4.50,0.25,,n/a,,,,,,,,,false,false,false,false,false,false,0,,false,1426855863071637632,16341371+5423397,J163413.43+542345.6,248.55532211205600,0.013041590340435500,54.39680730044960,0.013486246578395400,33.207561417652900,0.014239293,DR3,-244.50606129175800,0.016891677,538.4490214046500,0.018207865,DR3,3.6355786,0.20471178,DR3,1.1558405,0.13039198517799400,26.500438690185500,1.3478417,0,0,NOT_AVAILABLE,0.74746764,2.8458078,24,-1.5616802,344,342,0.003469252260401850,1,false,12.0963,0.0030,11.0554,0.0028,10.0427,0.0038,8.720,0.026,8.102,0.018,7.912,0.023,AAA,7.771,0.028,7.734,0.020,7.644,0.016,7.506,0.070,AAAA
1877,512,GJ 2121,2121,J16302-146,16:30:12.52,-14:39:53.0,M3.0 V,73.0,Rei95,Multiple,Double,AB,(AB),,,WSI 132,,,0,,2,,16302-1440,,2008,2020,7,100.50,0.105,13.6,15.6,2.3777,0.105,100.50,,,,,,,,,,,,n/a,,,n/a,9.4744,0.0083,,,n/a,,,0.09,Kuz19,,,,,,,,,true,false,false,false,true,false,0,,false,4325701192912743424,16301314-1439494,J163012.71-143951.9,247.552147133838,0.13934923708438900,-14.66473547684590,0.08318036049604420,44.16074947883410,0.15847607,DR3,-526.0645329881080,0.183678,-222.8536665118110,0.1342793,DR3,-120.93863,0.30923194,DR3,7.560807,1.3501166105270400,3099.986328125,1.5903978,0,0,NOT_AVAILABLE,0.01630332,3.0402222,17,0.8732572,454,444,0.02073967456817630,89,false,12.5031,0.0030,11.2492,0.0029,9.9744,0.0038,8.416,0.024,7.923,0.023,7.598,0.017,AAA,7.406,0.035,7.318,0.018,7.258,0.019,7.057,0.121,AAAB
1878,513,GJ 630.1 B,630.1 B,,16:34:19.37,+57:10:28.1,DQ8,0.0,Osw88,Multiple,Triple,A,A+Bab,,,,,,0,,3,,,,,,,,,,,396.7946,26.7256,201.92,,,,,0.0114,0.5154,0.0010,0.6000,0.1000,,,Bed20,,,n/a,13.9905,0.0029,,,n/a,,,,n/a,,,,,,,,,false,false,false,false,false,false,0,,false,1431176943768691328,16342164+5710082,J163420.09+571021.2,248.58069229122200,0.021348971873521800,57.17446098178010,0.017820661887526500,67.35385415177370,0.021381365,DR3,-1110.9456077093200,0.02337579,1199.3854047540400,0.026200285,DR3,3.4,12.5,Giz02,1.0143375,0.0,1.2185707146776E-15,1.1945643,2,0,NOT_AVAILABLE,,,,,279,277,0.018109919503331200,0,false,15.1077,0.0033,14.8487,0.0028,14.4227,0.0040,14.110,0.028,14.077,0.037,14.135,0.062,AAA,13.660,0.023,13.505,0.027,13.089,0.328,10.010,,AABU
