ID_star,ID_system,Name,GJ,Karmn,RA_J2016,DE_J2016,SpT,SpTnum,SpT_ref,Type,Class,Component,System,SB,SB_ref,Discoverer,Group,Group_ref,Nplanet,Planet_ref,Category,Remarks,WDS_id,WDS_comp,WDS_obs1,WDS_obs2,WDS_nobs,WDS_pa2,WDS_sep2,WDS_mag1,WDS_mag2,s01,rho01,theta01,s01_ref,s02,rho02,theta02,muratio,deltaPA,deltad,M_Msol,eM_Msol,R_Rsol,eR_Rsol,MR_ref,L_Lsol,eL_Lsol,L_ref,MG_mag,eMG_mag,Teff_K,eTeff_K,Teff_ref,logg,elogg,Fe_H,Fe_H_ref,q,P01,eP01,P01_ref,P02,eP02,Ug_J,eUg_J,crit_ruwe,crit_ipd_ruwe,crit_rv,crit_rv_error,crit_ipd_fmp,crit_dupl_source,crit_non_single,crit_DR3_non_single,Candidate,GaiaDR3_id,2MASS_id,AllWISE_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_ref,pmra,pmra_error,pmdec,pmdec_error,pm_ref,rv,rv_error,rv_ref,ruwe,astrometric_excess_noise,astrometric_excess_noise_sig,phot_bp_rp_excess_factor,phot_bp_n_blended_transits,phot_rp_n_blended_transits,phot_variable_flag,rv_chisq_pvalue,rv_amplitude_robust,rv_nb_transits,rv_renormalised_gof,astrometric_n_obs_al,astrometric_n_good_obs_al,ipd_gof_harmonic_amplitude,ipd_frac_multi_peak,duplicated_source,BP_mag,eBP_mag,G_mag,eG_mag,RP_mag,eRP_mag,J_mag,eJ_mag,H_mag,eH_mag,Ks_mag,eKs_mag,Qf_2M,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Qf_W
1,1,BD+13 5195A,,J00012+139N,00:01:13.21,+13:58:32.7,M0.5 V,70.5,Joy74,Multiple,Triple,AB,(AB)+C,,,LSC 2,,,0,,2,,00012+1357,Aa Ab,2014,2019,4,170.00,0.247,10.7,13.1,9.0342,0.247,170.00,,,,,,,,,,,,n/a,,,n/a,7.1078,0.0202,,,n/a,,,,n/a,,,,,,,,,true,true,true,false,false,false,0,,false,2767387380324493184,00011318+1358302,J000113.16+135830.6,0.3050591048212220,0.19339187,13.975743360423900,0.14310738,27.340553869047300,0.25144008,DR3,15.608283469241000,0.22558732,150.04990409832700,0.2255344,DR3,-6.073462,0.3825362,DR3,11.480915,1.5833552,2799.2815,1.3702363,27,21,NOT_AVAILABLE,2.1094237E-15,4.9119425,18,6.1902523,356,353,0.1176385,29,false,10.7009,0.0030,9.9238,0.0033,8.9674,0.0038,7.798,0.023,7.179,0.033,7.023,0.026,AAA,6.162,0.064,6.638,0.021,6.685,0.016,6.617,0.078,AAAA
2,1,BD+13 5195B,,J00012+139S,00:01:12.89,+13:58:22.0,M0.0 V,70.0,Lep13,Multiple,Triple,C,,,,WNO 12,,,0,,2,,00012+1357,AB,1906,2018,33,204.10,11.629,10.66,11.12,420.6488,11.6569,203.85,,,,,0.0726,4.1200,0.0136,0.6923,0.0258,0.6558,0.0116,This work,0.1019345500,0.0005617761,This work,7.6647,0.0032,3900,50,This work,5.00,0.25,,n/a,,,,,,,,,false,false,false,false,false,false,0,,false,2767384425386994048,00011286+1358196,J000112.87+135820.6,0.30370999804672400,0.01728949137032030,13.972781783642000,0.012831608764827300,27.71179805226480,0.019945703,DR3,26.55170271324010,0.022161389,149.687732186206,0.018032238,DR3,-10.254606,0.163111,DR3,1.0332841,0.08579333871603010,9.632179260253910,1.3143582,9,10,NOT_AVAILABLE,0.73307365,1.7209129,24,-1.496112,349,346,0.08557179570198060,0,false,11.3448,0.0029,10.4514,0.0028,9.5165,0.0038,8.359,0.024,7.714,0.034,7.528,0.027,AAA,7.680,0.086,7.714,0.063,7.600,0.045,7.075,0.110,AAAB
3,2,PM J00026+3821A,,J00026+383,00:02:40.00,+38:21:44.1,M4.0 V,74.0,Fri13,Multiple,Double,A,AB,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,0.3572,0.0329,0.3554,0.0148,This work,,,n/a,10.1495,0.0188,,,n/a,,,,n/a,,,,,,,,,true,false,false,false,false,false,0,,false,2880923878720791680,00024011+3821453,J000240.05+382144.8,0.6666558689959600,0.1286710649728780,38.36225022467830,0.11414725333452200,24.621772521351900,0.20984109,DR3,-70.97334111280750,0.1659828,-23.820094440328200,0.13198851,DR3,1.3576199,1.2624373,DR3,3.7408385,1.7179392576217700,3060.23046875,1.9337811,34,33,NOT_AVAILABLE,,,18,,449,445,0.024872835725545900,21,false,14.5023,0.0294,13.1929,0.0032,11.6667,0.0276,9.707,0.034,9.203,0.040,8.911,0.029,AAA,8.568,0.023,8.385,0.019,8.265,0.022,8.506,0.372,AAAC
4,2,PM J00026+3821B,,,00:02:40.05,+38:21:45.3,M3.5 V,73.5,This work,Multiple,Double,B,,,,Cif20,,,0,,3,,,,,,,,,,,55.7459,1.4155,28.12,,,,,0.2139,12.2541,0.0313,0.3298,0.0338,0.3305,0.0154,This work,,,n/a,10.4115,0.0317,,,n/a,,,,n/a,0.9233,,,,502.2,17.2,3.728E+36,5.137E+35,true,false,false,false,false,false,0,,false,2880923878719382656,,,0.6668922290914670,0.28169798851013200,38.36259699497130,0.13338342308998100,25.391611921548100,0.36842054,DR3,-61.10402784136530,0.42250785,-36.435274386972300,0.19202133,DR3,2.5372624,2.7131217,DR3,2.6708603,1.7474135160446200,2153.816162109380,,,,NOT_AVAILABLE,,,15,,270,270,0.019994797185063400,0,false,,,13.3881,0.0032,,,,,,,,,,,,,,,,,,
5,0,StKM 1-2199,,J00033+046,00:03:18.97,+04:41:11.6,M1.5 V,71.5,Lep13,Single,,-,,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,0.5109,0.0291,0.4943,0.0131,This work,0.0394760850,0.0002029709,This work,8.8819,0.0034,3600,50,This work,5.50,0.25,-0.13,Gai14b,,,,,,,,,false,false,false,false,false,false,0,,false,2741901697224268928,00031900+0441128,J000318.98+044111.9,0.8290605379636380,0.02583044394850730,4.686556382386220,0.020941730588674500,34.87883256753030,0.031003335,DR3,-25.632663752207900,0.034824155,-84.21135156069780,0.02898667,DR3,-6.0048437,0.27557704,DR3,1.6023357,0.20366846024990100,59.830238342285200,1.3655137,10,0,VARIABLE,0.36259288,4.2775774,22,-0.1059743,301,296,0.033489760011434600,0,false,12.2657,0.0033,11.1691,0.0028,10.1249,0.0039,8.833,0.029,8.183,0.018,7.976,0.024,AAA,7.799,0.028,7.746,0.019,7.664,0.018,7.434,0.149,AAAB
6,3,HD 38A,4 A,,00:05:42.38,+45:48:40.9,K7 V,67.0,Tam06,Multiple,Quadruple,Aab,Aab+B+C,SB,Abt70/Str93,Abt70,Hya,Cor24,0,,1,Triple according to e.g. Cve12 or Kiy20,,,,,,,,,,,,,n/a,,,,,,,,,,,n/a,,,n/a,7.9429,0.0029,,,n/a,,,0.03,Ros21,,,,n/a,,,,,false,false,false,false,false,false,0,,false,386653851004022144,00054091+4548435,J000541.85+454838.9,1.4265906375173700,0.019555574283003800,45.811373876292500,0.015456452034413800,86.80034639406610,0.024339102,DR3,888.4790652562920,0.022946188,-162.83098719525600,0.019623658,DR3,1.2486756,0.21936586,DR3,1.1564049,0.14391079545021100,17.336809158325200,1.3146594,0,0,NOT_AVAILABLE,0.023008343,0.76655096,18,2.458198,400,398,0.0034260982647538200,0,false,9.1566,0.0029,8.2503,0.0028,7.3109,0.0038,6.100,0.026,6.816,,5.262,0.016,AUA,4.447,0.349,3.964,0.177,4.336,0.015,4.415,0.029,BBAA
7,3,HD 38B,4 B,J00056+458,00:05:42.30,+45:48:35.0,M0.0 V,70.0,Cve12 ,Multiple,Quadruple,B,,,,STT 547,Hya,Cor24,0,,2,,00057+4549,AB,1876,2021,436,190.50,5.937,8.98,9.15,69.4957,6.0337,188.42,,,,,0.0520,0.4028,0.0002,0.6400,0.0267,0.6094,0.0120,This work,,,n/a,7.9938,0.0029,,,n/a,,,0.05,Ros21,,,,,,,,,false,false,false,false,false,false,0,,false,386653747925624576,00054090+4548374,,1.4262386378366100,0.0259307399392128,45.80971591580010,0.01823505386710170,86.82060614940870,0.029744592,DR3,846.0132101843460,0.02998101,-148.9092143394260,0.02449467,DR3,-2.2391562,0.13771725,DR3,1.1844672,0.1981499195098880,37.92449188232420,1.3182762,0,0,NOT_AVAILABLE,0.1720072,0.76963127,13,-0.2560255,382,380,0.007089764811098580,2,false,9.2227,0.0029,8.3007,0.0028,7.3525,0.0038,6.142,0.026,4.708,9.996,5.284,0.023,AFA,,,,,,,,,
8,3,GJ 2,2,J00051+457,00:05:12.22,+45:47:09.2,M1.0 V,71.0,Rei95,Multiple,Quadruple,C,,,,STT 547,Hya,Cor24,0,,1,,00057+4549,AF,1897,2018,42,253.90,329.97,8.98,10.19,3778.6669,328.4790,253.83,,,,,0.0239,0.5220,0.0015,0.4915,0.0122,0.4885,0.0043,This work,0.0435763700,0.0002257757,This work,8.7809,0.0028,3773,16,Marf21,5.50,0.25,-0.04,Marf21,,,,,,,,,false,false,false,false,false,false,0,,false,386655019234959872,00051079+4547116,J000511.75+454710.1,1.3009212651019300,0.014364718459546600,45.785894350455100,0.010900549590587600,86.92985294608010,0.017042965,DR3,870.7325008268120,0.017015498,-151.3924962859700,0.013093354,DR3,-0.79244775,0.13856892,DR3,1.0039248,0.10522175580263100,13.266131401062000,1.3608297,0,0,VARIABLE,0.22462136,1.0898935,20,-1.9254658,392,392,0.007255940698087220,0,false,10.1752,0.0031,9.0851,0.0028,8.0469,0.0038,6.704,0.021,6.098,0.024,5.853,0.018,AAA,5.755,0.153,5.569,0.049,5.599,0.015,5.520,0.038,BAAA
9,0,GJ 1002,1002,J00067-075,00:06:42.32,-07:32:47.3,M5.5 V,75.5,Rei95,Single,,-,,,,,,,2,Sua23,1,,,,,,,,,,,,,,,,,,,,,0.1073,0.0090,0.1244,0.0042,This work,0.0014070924,0.0000072012,This work,13.3468,0.0028,3169,53,Marf21,4.50,0.25,-0.15,Marf21,,,,,,,,,false,false,false,false,false,false,0,,false,2441630500517079808,00064325-0732147,J000642.61-073237.0,1.6763504259443900,0.04449895769357680,-7.5464753252597600,0.03153641149401670,206.35003920573300,0.04744553,DR3,-811.5659562556190,0.06421741,-1893.2508466548100,0.03386662,DR3,-40.457607,0.29774976,DR3,1.3369209,0.3583139181137090,177.4483642578130,1.5826743,1,0,NOT_AVAILABLE,0.67719734,4.3421364,23,-1.6404823,328,328,0.004502557683736090,4,false,14.0724,0.0031,11.7738,0.0028,10.3975,0.0039,8.323,0.019,7.792,0.034,7.439,0.021,AAA,7.155,0.046,7.029,0.020,6.859,0.016,6.697,0.081,AAAA
10,4,G 217-32A,,J00077+603,00:07:43.28,+60:22:54.0,M4.0 V,74.0,Alo15a,Multiple,Double,A,AB,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,0.2354,0.0370,0.2430,0.0166,This work,,,n/a,11.4663,0.0049,,,n/a,,,,n/a,,,,,,,,,true,false,false,false,true,false,0,,false,429297924157113856,00074264+6022543,J000743.08+602254.0,1.930349282862350,0.08581209182739260,60.38166243426180,0.09078073501586910,65.00416312003130,0.1165026,DR3,321.57497694637900,0.11646438,-3.13100449594332,0.11653684,DR3,1.528535,0.9742537,DR3,3.9059324,1.1836503744125400,1766.1590576171900,2.2578604,53,51,NOT_AVAILABLE,,,10,,432,425,0.011230423115193800,72,false,13.6442,0.0076,12.4016,0.0029,10.6950,0.0077,8.911,0.021,8.332,0.024,8.046,0.020,AAA,7.843,0.026,7.670,0.020,7.500,0.018,7.153,0.065,AAAA
11,4,G 217-32B,,,00:07:43.40,+60:22:53.8,M5.0 V,75.0,This work,Multiple,Double,B,,,,JNN 247,,,0,,2,,00077+6022,,2010,2016,6,100.30,0.848,13.42,14,13.0077,0.8483,100.39,,,,,0.1963,9.1612,0.0032,0.1932,0.0390,0.2028,0.0175,This work,,,n/a,12.0598,0.0057,,,n/a,,,,n/a,0.8207,,,,71.66,4.49,6.168E+36,1.578E+36,false,false,false,false,true,false,0,,false,429297859741477888,,,1.9308182403086500,0.08319437503814700,60.38161993916560,0.2772958278656010,65.21307301880950,0.12851872,DR3,363.3218340251740,0.13856915,-62.228147343219000,0.25034484,DR3,6.6681533,2.4337578,DR3,1.2169175,0.6780304908752440,280.65936279296900,,,,NOT_AVAILABLE,,,10,,136,136,0.03142451122403150,31,false,,,12.9881,0.0038,,,,,,,,,,,,,,,,,,
12,0,PM J00078+6736,,J00078+676,00:07:50.65,+67:36:23.9,M2.0 V,72.0,Lep13,Candidate,,-,,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,0.4916,0.0295,0.4770,0.0133,This work,0.0436131950,0.0004287958,This work,9.0259,0.0065,3600,50,This work,4.00,0.25,,n/a,,,,,,,,,true,false,false,false,true,false,0,,true,528913132171021568,00075079+6736255,J000750.70+673624.4,1.961051688117780,0.08317437022924420,67.60663910704140,0.09704828262329100,39.65406367806750,0.10532561,DR3,-55.8860364365776,0.10905485,-91.05548129072260,0.13640614,DR3,,,n/a,9.176924,1.1753398180007900,1747.8165283203100,1.5747473,21,19,NOT_AVAILABLE,,,,,419,406,0.019619090482592600,86,false,12.1145,0.0032,11.0345,0.0029,9.8047,0.0038,8.355,0.023,7.725,0.038,7.512,0.016,AAA,7.298,0.036,7.267,0.020,7.081,0.020,6.876,0.103,AAAA
13,0,GJ 3007,3007,J00079+080,00:07:58.74,+08:00:12.8,M3.0 V,73.0,Rei95,Candidate,,-,,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,0.3988,0.0162,0.4007,0.0119,This work,0.0193287860,0.0001701047,This work,9.8376,0.0061,3400,50,This work,5.00,0.25,-0.79,New14,,,,,,,,,true,false,false,false,false,false,0,,true,2751999130977261184,00075909+0800190,J000758.86+080015.0,1.9947504719372800,0.07961540669202810,8.003568676086960,0.05938217043876650,36.80116177423470,0.09138087,DR3,-352.88158043404100,0.11036715,-414.05423190096500,0.09398021,DR3,-27.327791,0.9118107,DR3,5.00378,0.7758079767227170,786.0021362304690,1.4239486,0,0,NOT_AVAILABLE,0.1394299,8.9728775,27,8.317054,416,416,0.03812776133418080,1,false,13.3251,0.0030,12.0083,0.0028,10.8634,0.0038,9.392,0.024,8.911,0.033,8.652,0.019,AAA,8.519,0.023,8.319,0.021,8.233,0.023,8.023,0.240,AAAB
14,5,1RXS J000806.3+475659,,J00081+479,00:08:06.23,+47:57:02.4,M4.0 V,74.0,Lep13,Multiple,Double,Aab,Aab,SB2,Shk10/Fou18,Shk10,,,0,,1,Single according to high-resolution imaging with AstraLux (Jan12),,,,,,,,,,0.04,,,Shk10,,,,,,,,,,,n/a,,,n/a,10.0700,0.0031,,,n/a,,,,n/a,,<4.4,,Shk10,,,,,false,false,false,false,false,false,2,nss_two_body_orbit/SB2C,false,393155984814848128,00080642+4757025,J000806.29+475702.4,2.025945508249950,0.022446271032095000,47.95067855186980,0.01738600805401800,53.623183787846000,0.03065867,DR3,-124.05565122909400,0.027698964,4.3616892282195300,0.02226465,DR3,-29.64,0.44,Shk10,1.2686943,0.24340322613716100,91.30123138427730,1.4703614,0,0,NOT_AVAILABLE,,,,,414,410,0.006849230732768770,0,false,12.9891,0.0038,11.4232,0.0028,10.1998,0.0040,8.523,0.034,8.000,0.047,7.677,0.021,AAA,7.473,0.033,7.336,0.020,7.221,0.017,6.962,0.069,AAAA
15,0,GJ 3008,3008,J00084+174,00:08:27.18,+17:25:26.4,M0.0 V,70.0,Rei95,Single,,-,,,,,UMa,Cor24,0,,3,,,,,,,,,,,,,,,,,,,,,0.5866,0.0276,0.5619,0.0124,This work,0.0597999170,0.0002320272,This work,8.3470,0.0030,3700,50,This work,5.50,0.25,-0.10,Gai14b,,,,,,,,,false,false,false,false,false,false,0,,false,2772804845911842944,00082730+1725274,J000827.21+172526.8,2.1132324766776300,0.01738969050347810,17.424000188404600,0.015731651335954700,45.99048059079150,0.020533271,DR3,-92.77453922801380,0.02727695,-66.02311719197090,0.023768157,DR3,12.059282,0.18090461,DR3,0.9582388,0.09732960909605030,8.74406909942627,1.3314048,0,0,NOT_AVAILABLE,0.60335624,1.3451529,14,-0.71324146,206,204,0.011066317558288600,1,false,11.0128,0.0034,10.0337,0.0028,9.0547,0.0039,7.807,0.021,7.165,0.018,6.980,0.016,AAA,6.831,0.065,6.814,0.021,6.788,0.017,6.729,0.085,AAAA
16,6,GJ 3010,3010,J00088+208,00:08:53.86,+20:50:21.4,M4.5 V,74.5,Rei95,Multiple,Double,AB,(AB),,,BEU 1,,,0,,2,,00089+2050,,2001,2020,8,74.20,0.152,12.7,14.3,2.7509,0.152,74.20,,,,,,,,,,,,n/a,,,n/a,10.7162,0.0301,,,n/a,,,-0.09,Kuz19,,,,,,,,,false,false,true,false,false,false,0,,false,2798766647610195456,00085391+2050252,J000853.88+205022.8,2.2244339331135300,0.6803834438323980,20.83928477475290,0.7045644521713260,55.255548619525900,0.7611836404184040,DR2,-48.635486189385000,1.629445131559430,-260.19282474035600,1.5371148905993100,DR2,22.590971,7.6987777,DR3,,6.997844219207760,57020.43359375,1.5494627,6,0,NOT_AVAILABLE,0.0,29.5243,15,25.460102,319,314,0.0001541372766951100,8,false,13.7414,0.0037,12.0043,0.0032,10.6972,0.0040,8.870,0.027,8.264,0.031,8.010,0.024,AAA,7.808,0.027,7.654,0.018,7.489,0.027,7.135,0.138,AAAB
17,0,G 31-29,,J00110+052,00:11:04.89,+05:12:33.4,M1.0 V,71.0,Lep13,Candidate,,-,,,,,Hya,Cor24,0,,3,LDS3135 is optical,,,,,,,,,,,,,,,,,,,,0.6453,0.0267,0.6141,0.0121,This work,0.0874374700,0.0012448101,This work,7.9600,0.0109,3800,50,This work,4.50,0.25,0.21,Gai14b,,,,,,,,,true,false,true,false,false,false,0,,true,2742160563492816128,00110463+0512320,J001104.80+051232.9,2.7703935956494400,0.11570283025503200,5.209275783814150,0.08547216653823850,26.96988649549180,0.13033694,DR3,257.22093552812000,0.13935842,65.817836989249,0.099815995,DR3,-12.119527,0.38288808,DR3,5.3882365,0.7914483547210690,677.2672729492190,1.3394849,2,0,NOT_AVAILABLE,3.350653E-13,5.7739544,22,5.868913,300,300,0.020629648119211200,0,false,11.7774,0.0029,10.8056,0.0028,9.8202,0.0038,8.530,0.024,7.883,0.042,7.693,0.024,AAA,7.537,0.029,7.606,0.021,7.507,0.019,7.339,0.148,AAAB
18,0,LSPM J0011+5908,,J00115+591,00:11:29.94,+59:08:21.2,M5.5 V,75.5,Alo15a,Single,,-,,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,0.1164,0.0093,0.1331,0.0046,This work,0.0011285790,0.0000052434,This work,13.6228,0.0029,2900,50,This work,5.00,0.25,,n/a,,,,,,,,,false,false,false,false,false,false,0,,false,423027104407576576,00113182+5908400,J001130.57+590827.5,2.874734923550550,0.018855055794119800,59.13922658078040,0.01993574947118760,107.38727063119000,0.027303873,DR3,-905.7217674154340,0.024964612,-1166.8263106109800,0.02655277,DR3,-45.318,5.372,Ter15a,1.1403797,0.25240257382392900,54.29518508911130,1.588782,4,1,NOT_AVAILABLE,,,,,501,494,0.008266190066933630,0,false,15.9015,0.0039,13.4680,0.0028,12.0799,0.0038,9.945,0.023,9.393,0.026,9.093,0.021,AAA,8.870,0.023,8.651,0.019,8.429,0.029,8.097,0.146,AAAB
19,0,LP 348-40,,J00118+229,00:11:53.17,+22:59:01.2,M3.5 V,73.5,Alo15a,Candidate,,-,,,,,,,0,,3,SB1 according to Shk09,,,,,,,,,,,,,,,,,,,,0.3896,0.0162,0.3920,0.0120,This work,0.0164183270,0.0001099321,This work,10.2039,0.0037,3300,50,This work,4.50,0.25,0.13,Fou18,,,,,,,,,true,false,false,false,false,false,0,,true,2848646203058386560,00115302+2259047,J001153.12+225902.3,2.971554717999090,0.04428168758749960,22.9836653667639,0.03775554895401000,48.83120681438100,0.054518264,DR3,119.49854275878400,0.06892947,-212.38966909047200,0.072949365,DR3,-42.633057,0.29947186,DR3,2.4696155,0.41977164149284400,292.6766662597660,1.4613754,2,0,NOT_AVAILABLE,0.041971155,6.5620728,33,0.6435245,383,382,0.012087555602192900,1,false,13.2542,0.0029,11.7604,0.0028,10.5545,0.0038,8.862,0.021,8.308,0.036,7.987,0.021,AAA,7.813,0.026,7.722,0.021,7.570,0.019,7.586,0.225,AAAB
20,0,G 130-53,,J00119+330,00:11:55.73,+33:03:10.7,M3.5 V,73.5,Alo15a,Single,,-,,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,0.3757,0.0157,0.3788,0.0115,This work,0.0153332640,0.0000892782,This work,10.2263,0.0031,3300,50,This work,5.00,0.25,,n/a,,,,,,,,,false,false,false,false,false,false,0,,false,2875557677861519744,00115653+3303177,J001155.96+330312.7,2.982206803893550,0.020386498421430600,33.05296139440210,0.019362913444638300,47.75111828290850,0.03099268,DR3,-556.6157101253630,0.03274093,-396.51660184907400,0.029748691,DR3,-4.9820967,0.26909906,DR3,1.3795954,0.19945041835308100,52.854286193847700,1.4411528,0,0,NOT_AVAILABLE,0.8203308,3.0894356,21,-1.6813749,331,329,0.007240342441946270,1,false,13.2669,0.0032,11.8314,0.0028,10.6515,0.0038,9.066,0.034,8.402,0.026,8.156,0.024,AAA,8.016,0.022,7.909,0.020,7.777,0.018,7.783,0.163,AAAB
21,0,1RXS J001213.6+302906,,J00122+304,00:12:13.49,+30:28:43.8,M4.5 V,74.5,Alo15a,Candidate,,-,,,,,IC 2391/Cas,Cor24,0,,3,,,,,,,,,,,,,,,,,,,,,0.4888,0.0306,0.4745,0.0151,This work,0.0584883950,0.0034923174,This work,9.0473,0.0609,3100,50,This work,4.50,0.25,,n/a,,,,,,,,,true,false,true,false,false,false,0,,true,2861514577912158848,00121341+3028443,J001213.46+302844.0,3.056199066831280,0.2708864212036130,30.478834108083200,0.22846725583076500,13.370940732848400,0.37414765,DR3,58.00455294541800,0.35649613,-21.862870227500900,0.34736603,DR3,-2.0995271,4.5757437,DR3,25.041649,2.6506123542785600,5397.88037109375,1.5740646,0,0,NOT_AVAILABLE,0.0,70.73215,21,26.416363,320,318,0.06877274066209790,0,false,15.0883,0.0080,13.4165,0.0038,12.0975,0.0047,10.242,0.023,9.683,0.022,9.410,0.021,AAA,9.256,0.023,9.045,0.020,8.923,0.030,8.722,0.416,AAAC
22,0,TYC 4298-613-1,,J00131+703,00:13:11.68,+70:23:54.9,M1.0 V,71.0,Lep13,Single,,-,,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,0.6495,0.0265,0.6178,0.0119,This work,0.0849725300,0.0003704233,This work,7.9333,0.0029,3800,50,This work,5.00,0.25,0.16,Tin19,,,,,,,,,false,false,false,false,false,false,0,,false,531152287604812672,00131154+7023527,J001311.62+702354.1,3.298681315731740,0.009584831073880200,70.3985767267513,0.009156874381005760,31.53289082239250,0.011447597,DR3,43.2426564587337,0.01207038,139.14979532208800,0.012542553,DR3,-56.904686,0.17949018,DR3,0.96931684,0.07826244831085210,8.4071626663208,1.3270311,0,0,NOT_AVAILABLE,0.66324157,1.6071739,17,-1.1787168,421,418,0.015688473358750300,0,false,11.3959,0.0029,10.4395,0.0028,9.4717,0.0038,8.259,0.020,7.592,0.033,7.392,0.018,AAA,7.307,0.036,7.351,0.020,7.264,0.017,7.166,0.085,AAAA
23,7,GJ 11 A,11 A,J00132+693,00:13:18.00,+69:19:32.4,M3.0 V,73.0,Rei95,Multiple,Double,A,AB,,,,,,0,,3,JNN 248 BC refers to the same pair,,,,,,,,,,,,,,,,,,,,0.3223,0.0339,0.3236,0.0152,This work,,,n/a,10.4866,0.0057,,,n/a,,,,n/a,,,,,,,,,true,false,false,false,true,false,0,,false,530438704553073280,00131578+6919372,J001317.30+691934.0,3.325006045153740,0.20340964198112500,69.32568038686900,0.21000486612319900,48.73065188928140,0.10729896,DR3,734.2996649267510,0.26718628,-274.9180200195580,0.2383892,DR3,,,n/a,2.268533,0.5757870078086850,257.6324157714840,2.6445937,8,8,NOT_AVAILABLE,,,,,121,119,0.008203895762562750,59,false,12.7675,0.0258,12.0476,0.0031,10.2176,0.0317,8.556,0.024,7.984,0.020,7.746,0.020,AAA,7.562,0.034,7.411,0.020,7.318,0.017,7.208,0.115,AAAB
24,7,GJ 11 B,11 B,,00:13:18.21,+69:19:32.3,M3.0 V,73.0,Lep13,Multiple,Double,B,,,,KUI 1,,,0,,2,,00133+6919,AB,1935,2014,8,276.70,0.849,13.31,13.36,17.42,0.849,276.70,,,,,0.0318,1.6605,,,,,,n/a,,,n/a,,,,,n/a,,,,n/a,,,,,,,,,false,false,false,false,true,true,0,,false,530438704558852352,,,3.3258619159003900,19.97728157043460,69.32563421117860,15.003570556640600,,,n/a,717.0,6.9,-292.4,6.2,Fab02,,,n/a,,108.67231750488300,14259176.0,2.7039864,14,12,NOT_AVAILABLE,,,,,240,240,0.010860380716621900,71,true,12.7967,0.0260,12.0509,0.0029,10.1888,0.0182,,,,,,,,,,,,,,,,
25,0,UPM J0013+2733,,J00133+275,00:13:19.55,+27:33:29.1,M4.5 V,74.5,Alo15a,Candidate,,-,,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,0.4279,0.0180,0.4282,0.0139,This work,0.0152589810,0.0000818457,This work,10.4717,0.0036,3100,50,This work,5.00,0.25,,n/a,,,,,,,,,false,false,true,false,false,false,0,,true,2856814406221740032,00131951+2733310,J001319.53+273329.7,3.331441594312750,0.01945745199918750,27.558096804724800,0.015230421908199800,24.18566744454950,0.024552867,DR3,24.11188190635760,0.030253224,-114.10916178595500,0.021854427,DR3,-1.2842709,3.0017538,DR3,1.3003975,0.124822698533535,10.589471817016600,1.499141,0,0,NOT_AVAILABLE,0.0,37.535263,18,8.176072,338,331,0.010132454335689500,0,false,15.3398,0.0039,13.5539,0.0028,12.2813,0.0039,10.431,0.020,9.837,0.020,9.581,0.018,AAA,9.379,0.023,9.219,0.021,9.043,0.030,8.524,0.292,AAAB
26,8,GJ 3014,3014,J00136+806,00:13:40.36,+80:39:59.8,M1.5 V,71.5,Alo15a,Multiple,Double,A,AB,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,0.5224,0.0289,0.5046,0.0130,This work,0.0461058300,0.0002942205,This work,8.7975,0.0029,3600,50,This work,4.50,0.25,-0.19,Mal20,,,,,,,,,false,false,false,false,false,false,0,,false,565169459378433152,00133880+8039569,J001339.84+803958.6,3.418168032647950,0.013951998203992800,80.66661102105320,0.01442485861480240,51.97771491425640,0.01565575,DR3,250.6147702400350,0.018968903,184.89016570489300,0.01929428,DR3,-15.911839,0.15838924,DR3,1.1433004,0.12943558394908900,19.971050262451200,1.3675085,0,1,NOT_AVAILABLE,0.87136394,1.2996721,18,-2.5329607,315,310,0.0025065552908927200,2,false,11.3505,0.0034,10.2184,0.0028,9.1639,0.0039,7.756,0.034,7.131,0.047,6.904,0.020,AAA,6.651,0.068,6.707,0.022,6.660,0.015,6.579,0.051,AAAA
